ID,YEAR,TITLE,LANGUAGE,AUTHORS
11041,2004-02-01,"The Half-Back: A Story of School, Football, and Golf",en,"Barbour, Ralph Henry, 1870-1944; Clinedinst, B. West (Benjamin West), 1860-1931 [Illustrator]"
11042,2004-02-01,Isabelle,fr,"Gide, André, 1869-1951"
11043,2004-02-01,Midnight,en,"Cohen, Octavus Roy, 1891-1959"
11044,2004-02-01,The Existence of God,en,"Fénelon, François de Salignac de La Mothe-, 1651-1715; Morley, Henry, 1822-1894 [Editor]"
11045,2004-02-01,The Ghost Ship,en,"Middleton, Richard, 1882-1911; Machen, Arthur, 1863-1947 [Author of introduction, etc.]"
11046,2004-02-01,La vie d'Ernest Psichari,fr,"Massis, Henri, 1886-1970"
11047,2004-02-01,Libro segundo de lectura,en; es,"Cyr, Ellen M., 1860-1920"
11048,2004-02-01,La Presse Clandestine dans la Belgique Occupée,fr,"Massart, Jean, 1865-1925"
11049,2004-02-01,Eugénie Grandet,fr,"Balzac, Honoré de, 1799-1850"
11050,2004-02-01,Taquisara,en,"Crawford, F. Marion (Francis Marion), 1854-1909"
11051,2004-02-01,The Cruise of the Dazzler,en,"London, Jack, 1876-1916"
11052,2004-02-01,The Custom of the Country,en,"Wharton, Edith, 1862-1937"
11053,2004-02-01,Minnie's Sacrifice,en,"Harper, Frances Ellen Watkins, 1825-1911; Foster, Frances Smith [Editor]"
11054,2004-02-01,"Poems (1786), Volume I.",en,"Williams, Helen Maria, 1762-1827"
11055,2004-02-01,Lord Dolphin,en,"Cheever, Harriet A. (Harriet Anna); Horne, Diantha W. [Illustrator]"
11056,2004-02-01,Trial and Triumph,en,"Harper, Frances Ellen Watkins, 1825-1911; Foster, Frances Smith [Editor]"
11057,2004-02-01,"The Wife of his Youth and Other Stories of the Color Line, and Selected Essays",en,"Chesnutt, Charles W. (Charles Waddell), 1858-1932"
11058,2004-02-01,Jack Archer: A Tale of the Crimea,en,"Henty, G. A. (George Alfred), 1832-1902"
11059,2004-02-01,The Sylphs of the Season with Other Poems,en,"Allston, Washington, 1779-1843"
11060,2004-02-01,The Aspirations of Jean Servien,en,"France, Anatole, 1844-1924; Allinson, A. R. (Alfred Richard), 1852-1929 [Translator]"
11061,2004-02-01,"The Atlantic Monthly, Volume 06, No. 34, August, 1860
A Magazine Of Literature, Art, And Politics",en,Various
11062,2004-02-01,The Dozen from Lakerim,en,"Hughes, Rupert, 1872-1956"
11063,2004-02-01,A Man of Mark,en,"Hope, Anthony, 1863-1933"
11064,2004-02-01,"Andromeda, and Other Poems",en,"Kingsley, Charles, 1819-1875"
11065,2004-02-01,"Aunt Mary's Primer
Adorned with a Hundred and Twenty Pretty Pictures",en,Anonymous
11066,2004-02-01,"Graf von Loeben and the Legend of Lorelei
From ""Modern Philology"" vol. 13 (1915)",en,"Porterfield, Allen Wilson, 1877-"
11067,2004-02-01,"Reform Cookery Book (4th edition)
Up-To-Date Health Cookery for the Twentieth Century.",en,"Mill, Mrs. (Jean Oliver)"
11068,2004-02-01,"The Spirit of the Age; Or, Contemporary Portraits",en,"Hazlitt, William, 1778-1830"
11069,2004-02-01,Squinty the Comical Pig: His Many Adventures,en,"Barnum, Richard; Tooker, Harriet H. [Illustrator]"
11070,2004-02-01,La Fontana de Oro,es,"Pérez Galdós, Benito, 1843-1920"
11071,2004-02-01,Naufragios de Alvar Núñez Cabeza de Vaca,es,"Núñez Cabeza de Vaca, Alvar, active 16th century"
11072,2004-02-01,Jumalainen näytelmä: Kiirastuli,fi,"Dante Alighieri, 1265-1321; Leino, Eino, 1878-1926 [Translator]"
11073,2004-02-01,The Illustrated Alphabet of Birds,en,Unknown
11074,2004-02-01,The Damned,en,"Blackwood, Algernon, 1869-1951"
11075,2004-02-01,Der Mann im Nebel,de,"Falke, Gustav, 1853-1916"
11076,2004-02-01,"Punch, or the London Charivari, Volume 153, October 24, 1917",en,Various
11077,2004-02-01,"Ebooks: Neither E, Nor Books
Paper for the O'Reilly Emerging Technologies Conference, 2004",en,"Doctorow, Cory, 1971-"
11078,2004-02-01,What Dress Makes of Us,en,"Quigley, Dorothy"
11079,2004-02-01,Essays in Rebellion,en,"Nevinson, Henry Woodd, 1856-1941"
11080,2004-02-01,"The Orations of Marcus Tullius Cicero, Volume 4",en,"Cicero, Marcus Tullius, 106 BCE-43 BCE; Yonge, Charles Duke, 1812-1891 [Translator]"
11081,2004-02-01,Extracto de la gramatica mutsun,es; nai,"Arroyo de la Cuesta, Felipe, -1842"
11082,2004-02-01,Old Saint Paul's: A Tale of the Plague and the Fire,en,"Ainsworth, William Harrison, 1805-1882"
11083,2004-02-01,"The Parables of the Saviour
The Good Child's Library, Tenth Book",en,Anonymous
11084,2004-02-01,"Sonny, a Christmas Guest",en,"Stuart, Ruth McEnery, 1856-1917; Cory, Fanny Y., 1877-1972 [Illustrator]"
11085,2004-02-01,"M. or N. ""Similia similibus curantur.""",en,"Whyte-Melville, G. J. (George John), 1821-1878"
11086,2004-02-01,A Surgeon in Belgium,en,"Souttar, Henry Sessions, 1875-1964"
11087,2004-02-01,"The Atlantic Monthly, Volume 06, No. 35, September, 1860
A Magazine Of Literature, Art, And Politics",en,Various
11088,2004-02-01,English Men of Letters: Crabbe,en,"Ainger, Alfred, 1837-1904"
11089,2004-02-01,"The Education of the Negro Prior to 1861
A History of the Education of the Colored People of the United States from the Beginning of Slavery to the Civil War",en,"Woodson, Carter Godwin, 1875-1950"
11090,2004-02-01,Industrial Progress and Human Economics,en,"Hartness, James, 1861-1934"
11091,2004-02-01,Poems,en,"Stoddard, John L. (John Lawson), 1850-1931"
11092,2004-02-01,The History of Tom Thumb and Other Stories.,en,Anonymous
11093,2004-02-01,Trailin'!,en,"Brand, Max, 1892-1944"
11094,2004-02-01,"Punch, or the London Charivari, Volume 156, March 12, 1919",en,Various
11095,2004-02-01,Fun and Nonsense,en,"Bonte, Willard, 1873-1946"
11096,2004-02-01,"Tales of Ind, and Other Poems",en,"Ramakrishna Pillai, T. (Thottakadu), 1854-"
11097,2004-02-01,Young Robin Hood,en,"Fenn, George Manville, 1831-1909"
11098,2004-02-01,Happy and Gay Marching Away,en,Unknown
11099,2004-02-01,"More Seeds of Knowledge; Or, Another Peep at Charles",en,"Corner, Miss (Julia), 1798-1875"
11100,2004-02-01,"History of Modern Philosophy
From Nicolas of Cusa to the Present Time",en,"Falckenberg, Richard, 1851-1920; Armstrong, Andrew Campbell, 1860-1935 [Translator]"
11101,2004-02-01,Coleridge's Ancient Mariner and Select Poems,en,"Coleridge, Samuel Taylor, 1772-1834"
11102,2004-02-01,"History of Negro Soldiers in the Spanish-American War, and Other Items of Interest",en,"Johnson, Edward A. (Edward Austin), 1860-1944"
11103,2004-02-01,"The Atlantic Monthly, Volume 06, No. 37, November, 1860
A Magazine of Literature, Art, and Politics",en,Various
11104,2004-02-01,In Morocco,en,"Wharton, Edith, 1862-1937"
11105,2004-02-01,"Jack Mason, the Old Sailor",en,"Woodworth, Francis C. (Francis Channing), 1812-1859"
11106,2004-02-01,The Girl at Cobhurst,en,"Stockton, Frank R., 1834-1902"
11107,2004-02-01,"Theobald, the Iron-Hearted; Or, Love to Enemies",en,"Malan, César, 1787-1864"
11108,2004-02-01,Aus dem Durchschnitt,de,"Falke, Gustav, 1853-1916"
11109,2004-02-01,"Punch, or the London Charivari, Volume 156, February 12, 1919",en,Various
11110,2004-02-01,A Countess from Canada: A Story of Life in the Backwoods,en,"Marchant, Bessie, 1862-1941"
11111,2004-02-01,"Only an Irish Boy; Or, Andy Burke's Fortunes",en,"Alger, Horatio, Jr., 1832-1899"
11112,2004-02-01,"The Mirror of Literature, Amusement, and Instruction. Volume 13, No. 351, January 10, 1829",en,Various
11113,2004-02-01,Principal Cairns,en,"Cairns, John, 1857-1922"
11114,2004-02-01,"Debate on Woman Suffrage in the Senate of the United States,
2d Session, 49th Congress, December 8, 1886, and January 25, 1887",en,Various
11115,2004-02-01,"Frank Merriwell at Yale; Or, Freshman Against Freshman",en,"Standish, Burt L., 1866-1945"
11116,2004-02-01,The Wonderful Bed,en,"Knevels, Gertrude, 1881-1962"
11117,2004-02-01,"The Atlantic Monthly, Volume 07, No. 40, February, 1861
A Magazine of Literature, Art, and Politics",en,Various
11118,2004-02-01,"The Atlantic Monthly, Volume 07, No. 39, January, 1861
A Magazine of Literature, Art, and Politics",en,Various
11119,2004-02-01,Personal Memoirs of a Residence of Thirty Years with the Indian Tribes on the American Frontiers,en,"Schoolcraft, Henry Rowe, 1793-1864"
